place_freeform;place_refined
Praha 2;Praha-střed
Praha 5 - Zbraslav;Zbraslav
Praha 3;Praha-Žižkov
Praha 9;Praha-Vysočany
Praha 3 - Žižkov;Praha-Žižkov
Praha 1;Praha-střed
Praha 12;Praha-Modřany
Praha 4;Praha-Pankrác
Praha 4 - Kunratice;Praha-Kunratice
Praha 5;Praha-Smíchov
Praha 5 - Smíchov;Praha-Smíchov
Praha 5 Radotín;Praha-Radotín
Praha 7;Praha-Holešovice
Praha 6;Praha-Šárka
Libčice n.Vlt.;Libčice nad Vltavou
Kralupy nad Vltavou;Kralupy nad Vltavou
Roztoky;Roztoky
Praha 8;Praha-Kobylisy
Odolena Voda;Odolena Voda
Praha 21 - Újezd nad Lesy;Praha-Běchovice
Praha 9 - Horní Počernice;Praha-Horní Počernice
Praha 9 - Prosek;Praha-Prosek
Praha 10;Praha-Vršovice
Praha 4 - Chodov;Praha-Jižní Město
Praha 9 Horní Pocernice;Praha-Horní Počernice
Praha 9 - Hrdlořezy;Praha-Běchovice
Praha 10 - Michle;Praha-Pankrác
Divišov;Benešov
Vlašim;Vlašim
Kamenice;Kamenice
Votice;Votice
Beroun;Beroun
Hořovice;Hořovice
Králův Dvůr;Králův Dvůr
Rudná;Rudná
Mořina;Mořina
Nové Strašecí;Nové Strašecí
Kladno;Kladno
Kladno 1;Kladno
Buštěhrad;Buštěhrad
Libušín;Libušín
Slaný;Slaný
Kolín;Kolín
Kolín 5;Kolín
Starý Kolín;Starý Kolín
Červené Pečky;Červené Pečky
Český Brod;Český Brod
Kolín V;Kolín
Kouřim;Kouřim
Ratboř;Ratboř
Kostelec nad Černými lesy;Kostelec nad Černými lesy
Plaňany;Plaňany
Kutná Hora 1;Kutná Hora
Čáslav;Čáslav
Kutná Hora;Kutná Hora
Dolní Bučice;Dolní Bučice
Uhlířské Janovice;Uhlířské Janovice
Ronov nad Doubravou;Ronov nad Doubravou
Mělník 1;Mělník
Kostelec nad Labem;Kostelec nad Labem
Neratovice;Neratovice
Liběchov;Liběchov
Mladá Boleslav;Mladá Boleslav
Benátky nad Jizerou;Benátky nad Jizerou
Mnichovo Hradiště;Mnichovo Hradiště
Bělá pod Bezdězem;Bělá pod Bezdězem
Nymburk;Nymburk
Lysá nad Labem;Lysá nad Labem
Městec Králové;Městec Králové
Poděbrady;Poděbrady
Sadská;Sadská
Brandýs nad Labem;Brandýs nad Labem
Jirny;Jirny
Klecany;Klecany
Líbeznice;Líbeznice
Čelákovice;Čelákovice
Říčany;Říčany
Úvaly;Úvaly
Stará Boleslav;Stará Boleslav
Předměřice nad Jizerou;Brandýs nad Labem
Zápy, pošta Brandýs nad Labem;Zápy
Mníšek pod Brdy;Mníšek pod Brdy
Dobřichovice;Dobřichovice
Vrané nad Vltavou;Vrané nad Vltavou
Všenory;Všenory
Praha Zbraslav;Zbraslav
Hostivice;Hostivice
252 28 Černošice;Černošice
Příbram VII;Příbram
Příbram;Příbram
Rožmitál p. Tř.;Rožmitál pod Třemšínem
Sedlčany;Sedlčany
Dobříš;Dobříš
Jindřichův Hradec;Jindřichův Hradec
Třeboň;Třeboň
Písek;Písek
Prachatice;Prachatice
Horní Vltavice;Vimperk
České Budejovice;České Budějovice
České Budějovice;České Budějovice
Týn nad Vltavou;Týn nad Vltavou
Kaplice;Kaplice
Velešín;Velešín
Horní Stropnice;Horní Stropnice
Holubov;Holubov
Dačice;Dačice
Slavonice;Slavonice
Lomnice nad Lužnicí;Lomnice nad Lužnicí
Kamenice nad Lipou;Kamenice nad Lipou
Milevsko;Milevsko
Protivín;Protivín
Strakonice;Strakonice
Volyně;Volyně
Vodňany;Vodňany
Tábor;Tábor
Sezimovo Ústí;Sezimovo Ústí
Bechyně;Bechyně
Veselí nad Lužnicí 1;Veselí nad Lužnicí
Borotín;Borotín
Planá nad Lužnicí;Planá nad Lužnicí
Opařany;Opařany
Veselí nad Lužnicí;Veselí nad Lužnicí
Domažlice;Domažlice
Holýšov;Holýšov
Kdyně;Prapořiště
Tachov 1;Tachov
Klatovy;Klatovy
Horažďovice;Horažďovice
Sušice;Sušice
Pačejov;Pačejov
Plzeň;Plzeň
Plzeň 12;Plzeň
Plzeň 1;Plzeň
Tlučná;Tlučná
Kralovice;Kralovice
Přeštice;Přeštice
Dnešice;Dnešice
Dobřany;Dobřany
Spálené Poříčí;Spálené Poříčí
Rokycany;Rokycany
Radnice;Radnice
Strašice;Strašice
Zbiroh;Zbiroh
Cheb;Cheb
Cheb 2;Cheb
Aš 1;Aš
Františkovy Lázně;Františkovy Lázně
Mariánské Lázně;Mariánské Lázně
Luby;Luby
Jáchymov;Jáchymov
Nejdek;Nejdek
Karlovy Vary;Karlovy Vary
Chodov;Chodov
Kynšperk nad Ohří;Kynšperk nad Ohří
Habartov;Habartov
Horní Slavkov;Horní Slavkov
Loket;Loket
Děčín 2;Děčín
Varnsdorf;Varnsdorf
Rumburk;Rumburk
Děčín 9;Děčín
Šluknov;Šluknov
Chomutov;Chomutov
Klášterec nad Ohří;Klášterec nad Ohří
Jirkov;Jirkov
Kadaň;Kadaň
Žatec;Žatec
Terezín;Terezín
Roudnice nad Labem;Roudnice nad Labem
Lovosice;Lovosice
Libochovice;Libochovice
Štětí;Štětí
Litoměřice;Litoměřice
Most;Most
Litvínov 8;Litvínov
Louny;Louny
Teplice 1;Teplice
Teplice;Teplice
Ústí nad Labem;Ústí nad Labem
Česká Lípa;Česká Lípa
Nový Bor;Nový Bor
Doksy;Doksy
Mimoň;Mimoň
Jablonec nad Nisou 5;Jablonec nad Nisou
Liberec 8;Liberec
Liberec 14;Liberec
Liberec 25;Liberec
Liberec 30;Liberec
Liberec;Liberec
Hrádek nad Nisou;Hrádek nad Nisou
Český Dub;Český Dub
Semily;Semily
Turnov;Turnov
Jilemnice;Jilemnice
Železný Brod;Železný Brod
Tatobity;Tatobity
Třebechovice pod Orebem;Třebechovice pod Orebem
Stěžery;Stěžery
Chlumec nad Cidlinou;Chlumec nad Cidlinou
Jičín;Jičín
Hořice;Hořice v Podkrkonoší
Nová Paka;Nová Paka
Miletín;Miletín
Lázně Bělohrad;Lázně Bělohrad
Náchod;Náchod
Police nad Metují;Police nad Metují
Broumov;Broumov
Červený Kostelec;Červený Kostelec
Česká Skalice;Česká Skalice
Nové Město nad Metují;Nové Město nad Metují
Jaroměř;Jaroměř
Rychnov nad Kněžnou;Rychnov nad Kněžnou
Kostelec nad Orlicí;Kostelec nad Orlicí
Opočno;Opočno
Dobruška;Dobruška
Vamberk;Vamberk
Trutnov;Trutnov
Dvůr Králové nad Labem;Dvůr Králové nad Labem
Rtyně v Podkrkonoší;Rtyně v Podkrkonoší
Hostinné;Hostinné
Vrchlabí;Vrchlabí
Malé Svatoňovice;Malé Svatoňovice
Svoboda nad Úpou;Svoboda nad Úpou
Hradec Králové;Hradec Králové
Hradec Králové 3;Hradec Králové
Hradec Králové 9;Hradec Králové
Chrudim;Chrudim
Slatiňany;Slatiňany
Hlinsko v Čechách;Hlinsko
Skuteč;Skuteč
Chrast u Chrudimě;Chrast u Chrudimi
Nasavrky;Nasavrky
Heřmanův Městec;Heřmanův Městec
Proseč 188;Proseč
Luže;Luže
Kameničky;Kameničky
Pardubice 3;Pardubice
Chvaletice;Chvaletice
Holice;Holice
Pardubice;Pardubice
Přelouč;Přelouč
Sezemice;Sezemice
Svitavy;Svitavy
Litomyšl;Litomyšl
Polička;Polička
Moravská Třebová;Moravská Třebová
Dolní Újezd;Dolní Újezd
Ústí nad Orlicí;Ústí nad Orlicí
Česká Třebová;Česká Třebová
Choceň;Choceň
Vysoké Mýto;Vysoké Mýto
Lanškroun;Lanškroun
Žamberk;Žamberk
Letohrad;Letohrad
Jablonné nad Orlicí;Jablonné nad Orlicí
Brandýs nad Orlicí;Brandýs nad Orlicí
Dolní Dobrouč;Dolní Dobrouč
Červená Voda;Červená Voda
Chotěboř;Chotěboř
Havlíčkův Brod;Havlíčkův Brod
Ledeč nad Sázavou;Ledeč nad Sázavou
Přibyslav;Přibyslav
Jihlava;Jihlava
Batelov 327;Batelov
Humpolec;Humpolec
Počátky;Počátky
Pelhřimov;Pelhřimov
Třebíč;Třebíč
Luka nad Jihlavou;Luka nad Jihlavou
Moravské Budějovice;Moravské Budějovice
Jemnice;Jemnice
Budišov;Budišov
 Uhřínov;Velké Meziříčí
Nové Město na Moravě;Nové Město na Moravě
Bystřice nad Pernštejnem;Bystřice nad Pernštejnem
Žďár nad Sázavou;Žďár nad Sázavou
Svratka;Svratka
Polná;Polná
Blansko;Blansko
Rájec-Jestřebí;Rájec-Jestřebí
Boskovice;Boskovice
Letovice;Letovice
Jedovnice;Jedovnice
Brno;Brno
Brno 23;Brno-západ
Brno 15;Brno-východ
Brno 13;Brno-střed
Brno-Řečkovice;Brno-sever
Brno 2;Brno-střed
Brno - Bosonohy;Brno-jih
Oslavany;Oslavany
Ivančice;Ivančice
Střelice;Střelice
Újezd u Brna;Újezd u Brna
Tišnov;Tišnov
Kuřim;Kuřim
Veverská Bítýška;Veverská Bítýška
Křtiny;Křtiny
Pozořice;Pozořice
Židlochovice;Židlochovice
Domašov;Domašov
Šlapanice u Brna;Šlapanice
Vranovice;Vranovice
Břeclav;Břeclav
Mikulov;Mikulov
Kyjov;Kyjov
Veselí nad Moravou;Veselí nad Moravou
Ratíškovice;Ratíškovice
Mikulčice;Mikulčice
Hodonín 1;Hodonín
Klobouky u Brna;Klobouky u Brna
Vyškov;Vyškov
Slavkov u Brna;Slavkov u Brna
Jevišovice;Jevišovice
Znojmo;Znojmo
Olomouc 9;Olomouc
Olomouc;Olomouc
Šternberk;Šternberk
Dub nad Moravou;Dub nad Moravou
Čechovice, Velký Týnec;Velký Týnec
Bělkovice-Lašťany;Bělkovice-Lašťany
Prostějov;Prostějov
Kostelec na Hané;Kostelec na Hané
Konice;Konice
Vrbátky;Vrbátky
Přerov;Přerov
Brodek u Přerova;Brodek u Přerova
Kojetín;Kojetín
Lipník n.B.;Lipník nad Bečvou
Hranice;Hranice
Šumperk;Šumperk
Bludov;Bludov
Postřelmov;Postřelmov
Zábřeh;Zábřeh
Hoštejn;Hoštejn
Loštice;Loštice
Lesnice;Lesnice
Ruda nad Moravou;Ruda nad Moravou
Česká Ves;Jeseník
Staré Město;Staré Město
Kroměříž;Kroměříž
Týn nad Bečvou;Lipník nad Bečvou
Holešov;Holešov
Chropyně;Chropyně
Uherské Hradiště;Uherské Hradiště
Staré Město u Uherského Hradiště;Staré Město
Polešovice;Polešovice
Uherský Brod;Uherský Brod
Bojkovice;Bojkovice
Suchá Loz;Suchá Loz
Modrá;Modrá
Vsetín;Vsetín
Valašské Meziříčí;Valašské Meziříčí
Lidečko;Lidečko
Rožnov pod Radhoštěm;Rožnov pod Radhoštěm
Kelč;Kelč
Zlín;Zlín
Zlín 4;Zlín-Malenovice
Otrokovice;Otrokovice
Napajedla;Napajedla
Luhačovice;Luhačovice
Slavičín;Slavičín
Vizovice;Vizovice
Pozlovice;Pozlovice
Štítná nad Vláří;Štítná nad Vláří
Brumov-Bylnice;Brumov-Bylnice
Slušovice;Slušovice
Bruntál 1;Bruntál
Krnov;Krnov
Rýmařov;Rýmařov
Zlaté Hory;Zlaté Hory
Frýdek - Místek;Frýdek-Místek
Frýdlant nad Ostravicí;Frýdlant nad Ostravicí
Šenov;Šenov
Frýdek-Místek 1;Frýdek-Místek
Staříč;Staříč
Pražmo;Pražmo
Dobrá;Dobrá u Frýdku-Místku
Rychvald;Rychvald
Havířov - Šumbark;Havířov
Nýdek;Třinec
Český Těšín 6;Český Těšín
Nový Jičín;Nový Jičín
Příbor;Příbor
Kopřivnice;Kopřivnice
Štramberk;Štramberk
Odry;Odry
Albrechtičky;Albrechtičky
Opava 1;Opava
Opava;Opava
Štítina;Háj ve Slezsku
Dolní Životice;Dolní Životice
Ostrava - Mariánské Hory;Ostrava-střed
Ostrava - Moravská Ostrava a Přívoz;Ostrava-střed
Ostrava - Svinov;Ostrava-západ
Klimkovice;Klimkovice
Ostrava - Poruba;Ostrava-západ
Ostrava - Zábřeh;Ostrava-jih
Ostrava - Jih;Ostrava-jih
Ostrava - Stará Bělá;Ostrava-jih
Ostrava - Polanka nad Odrou;Ostrava-západ
Praha;Praha
Hloubětín;Praha-Černý Most
Praha ;Praha
Nerudova 33, 118 00 Praha 1;Praha-střed
Žižkov;Praha-Žižkov
Korunní 60, 120 00 Praha 2, Vinohrady;Praha-střed
Praha 4 Modřany;Praha-Modřany
Praha 4 - Modřany;Praha-Modřany
Praha Vinohrady;Praha-střed
Praha-Kunratice;Praha-Kunratice
Praha - Kunratice;Praha-Kunratice
Praha 13;Praha-Smíchov
Sobětická 1627/9, Praha Radotín;Praha-Radotín
Praha 5 - Radotín;Praha-Radotín
Praha 5 – Radotín;Praha-Radotín
Barrandov;Praha-Smíchov
Praha-Suchdol;Praha-Suchdol
Libčice n.vlt;Libčice nad Vltavou
Libčice n. Vlt.;Libčice nad Vltavou
Bílá Hora;Praha-Šárka
Praha 6 - Hanspaulka;Praha-Šárka
Praha -Dejvice;Praha-Šárka
Praha 6 - Dejvice;Praha-Šárka
Praha 6 - Liboc;Praha-Šárka
Praha 6 - Břevnov;Praha-Šárka
Praha 8 - Kobylisy;Praha-Kobylisy
Praha 8 - Karlín;Praha-Vysočany
Kobylisy;Praha-Kobylisy
Praha 9 - Kbely;Praha-Letňany
Praha Kbely;Praha-Letňany
Praha 21 Újezd nad Lesy;Praha-Běchovice
Praha 20, Horní Počernice;Praha-Horní Počernice
Praha - Prosek;Praha-Prosek
Praha 9 - Kyje;Praha-Letňany
klubovna Brechtova, Praha;Praha-Jižní Město
Praha 4 - Háje;Praha-Jižní Město
Praha 11;Praha-Jižní Město
Praha 10 - Strašnice;Praha-Vršovice
klubovna Práčská, Praha;Praha-Vršovice
klubovna Loučimská 1, Praha 15;Praha-Hostivař
Praha 10 - Vršovice;Praha-Vršovice
Benešov;Benešov
Neveklov;Neveklov
Týnec nad Sázavou;Týnec nad Sázavou
Vrchotovy Janovice;Vrchotovy Janovice
Nučice;Nučice
Mezouň;Mezouň
Tachlovice;Tachlovice
Kladno 2;Kladno
Radim;Radim
Kozojedy;Kozojedy
Kostelec n.Č.l.;Kostelec nad Černými lesy
KNČL;Kostelec nad Černými lesy
Ćáslav;Čáslav
Kutná  Hora;Kutná Hora
Mělník;Mělník
Neratovice a okolí;Neratovice
Dolní Bousov/Obruby;Dolní Bousov
Růžová 45, Kněžmost;Kněžmost
Dobrovice;Dobrovice
Straky;Straky
Milovice;Milovice
Skautský srub, Kralupská ul.,Brandýs nad Labem;Brandýs nad Labem
Hovorčovice;Hovorčovice
Čelákovice a okolí;Čelákovice
